directory,file_name,variable_name,variable_type,description
data/,postfloodintervention.rda,submitted_on,character,Date when the survey was submitted
data/,postfloodintervention.rda,water_point_name,character,Name of the water point
data/,postfloodintervention.rda,latitude,numeric,Geographic latitude coordinate of the water point
data/,postfloodintervention.rda,longitude,numeric,Geographic longitude coordinate of the water point
data/,postfloodintervention.rda,photo_condition_water_point,character,File names or URLs of photos illustrating the current condition of the water point
data/,postfloodintervention.rda,operational_feel_of_pump,character,Qualitative assessment of how the pump feels during operation
data/,postfloodintervention.rda,time_to_pump_20_litres,numeric,Time taken (in seconds or minutes) to pump 20 liters of water
data/,postfloodintervention.rda,number_of_strokes_to_yield_water,numeric,Number of pump strokes needed to produce water
data/,postfloodintervention.rda,sediment_presence,character,Presence or absence of sediment in the water
data/,postfloodintervention.rda,electrical_conductivity_magnitude,numeric,Measured magnitude of electrical conductivity in the water sample
data/,postfloodintervention.rda,electrical_conductivity_units,character,"Units of electrical conductivity measurement (e.g., μS/cm)"
data/,postfloodintervention.rda,arsenic_magnitude,numeric,Concentration of arsenic detected in the water sample
data/,postfloodintervention.rda,arsenic_units,character,"Units used to measure arsenic concentration (e.g., μg/L)"
data/,postfloodintervention.rda,ammonia_mg_per_l,numeric,Ammonia concentration in mg per liter
data/,postfloodintervention.rda,fluoride_ppm,numeric,Fluoride concentration in parts per million
data/,postfloodintervention.rda,nitrate_mg_per_l,numeric,Nitrate concentration in mg per liter
data/,postfloodintervention.rda,total_dissolved_solids_ppt,numeric,Total dissolved solids in parts per thousand
data/,postfloodintervention.rda,free_chlorine_mg_per_l,numeric,Concentration of free chlorine in mg per liter
data/,postfloodintervention.rda,ph,numeric,pH level of the water sample (acidity/alkalinity)
data/,postfloodintervention.rda,temperature_magnitude,numeric,Temperature value of the water sample
data/,postfloodintervention.rda,temperature_units,character,Units for temperature measurement (degree celsius)
data/,postfloodintervention.rda,turbidity_tube_magnitude,numeric,Measured turbidity of water using a turbidity tube
data/,postfloodintervention.rda,turbidity_tube_units,character,"Units for turbidity measurement (e.g., NTU)"
data/,postfloodintervention.rda,comments,character,Additional notes or observations related to the water point or sample
data/,postfloodintervention.rda,type_of_sample,character,"Type or source of the water sample (e.g., well, tap, river)"
data/,postfloodintervention.rda,date_of_sample,character,Date when the water sample was collected
data/,postfloodintervention.rda,ecoli_mpn_per_100ml,numeric,Most probable number (MPN) of E. coli bacteria per 100 milliliters
data/,postfloodintervention.rda,ecoli_upper_95ci_per_100ml,numeric,Upper limit of the 95 percent confidence interval for E. coli MPN per 100 ml
data/,postfloodintervention.rda,ecoli_health_risk_category,character,"Health risk classification based on E. coli levels (e.g., low, medium, high)"
data/,postfloodintervention.rda,ecoli_image,character,File name or URL of image showing E. coli test result or sample compartment color change
