submitted_on,water_point_name,latitude,longitude,photo_condition_water_point,operational_feel_of_pump,time_to_pump_20_litres,number_of_strokes_to_yield_water,sediment_presence,electrical_conductivity_magnitude,electrical_conductivity_units,arsenic_magnitude,arsenic_units,ammonia_mg_per_l,fluoride_ppm,nitrate_mg_per_l,total_dissolved_solids_ppt,free_chlorine_mg_per_l,ph,temperature_magnitude,temperature_units,turbidity_tube_magnitude,turbidity_tube_units,comments,type_of_sample,date_of_sample,ecoli_mpn_per_100ml,ecoli_upper_95ci_per_100ml,ecoli_health_risk_category,ecoli_image
08/07/2019,Beseni borehole,-15.6257309,35.5104587,https://api.mwater.co/v3/images/8b33e91a7390478ea15a6177ebb6f3c6; https://api.mwater.co/v3/images/f21ced7742364d85b5241f2d29d765e8,Normal/satisfactory,70.04,1,Absent,5740,μS / cm,5,ppb,0.2,1.6,0.6,2.79,0,7.06,25.2,C,5,NTU,NA,Point of collection,7/5/2019,0,2.87,safe,https://api.mwater.co/v3/images/5d6f60f749f6499098680d27094e3d59
05/12/2019,Demula borehole 3,-15.9643583,35.4777033,https://api.mwater.co/v3/images/1b9e5eb6d4d14feca18ca7ac63d7d1d1,Normal/satisfactory,44.811,2,Absent,136.1,μS / cm,0,ppb,0.64,0.3,0.58,0.08,0.3,6,30,C,5,NTU,NA,Point of collection,12/4/2019,0,2.87,safe,https://api.mwater.co/v3/images/b455ed0a2f864d30ab94c1ec833cfda2
23/02/2020,Demula borehole 3,-15.9643583,35.4777033,https://api.mwater.co/v3/images/14fd52d3d6a4466b878bba3360fd45d6,Normal/satisfactory,43.208,2,Absent,140.2,μS / cm,0,ppb,0.61,0.2,0.5,0.09,0.9,6.8,30.4,C,5,NTU,NA,Point of collection,2/22/2020,0,2.87,safe,https://api.mwater.co/v3/images/966e6d52075f4273b45288d5e2eea8e4
17/06/2019,Sadibwa   village,-15.8182964,35.5255082,https://api.mwater.co/v3/images/b6e3ed1ce7c6431eae072292cea8c8b8; https://api.mwater.co/v3/images/6aceccee42d04b698ede87a6ab18362a; https://api.mwater.co/v3/images/9f5b757ac72e4edb9a3fd02018c8ddce,Normal/satisfactory,59.77,1,Absent,650,μS / cm,5,ppb,4,0.2,0.1,0.37,0.4,7.5,25.6,C,5,NTU,The water has more ammonia level. The water point is performing very well after rehabilitation,Point of collection,6/16/2019,0,2.87,safe,https://api.mwater.co/v3/images/b1b446cf3cde412191c32f214b67af7b
27/06/2019,Shaibu Water point 3,-15.8444883,35.4697467,https://api.mwater.co/v3/images/3385cd7a5f81453289d37fb8fb23723f; https://api.mwater.co/v3/images/5d44b454adbd431baa8632469dbbff6a,Normal/satisfactory,50.081,1,Present,1599,μS / cm,0,ppb,0.15,0.2,0.6,0.82,0,7.35,26.1,C,5,NTU,"The community is happy since tge borehole is one of the oldest in the community and most of the parts were worn out,now they have an assurance that its lifespan has been increased",Point of collection,6/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/9916f6be50cc4946b08b99bde88b38f6
09/03/2020,Shaibu Water point 3,-15.8444883,35.4697467,https://api.mwater.co/v3/images/297f441a19a648bda7dca9837e842782,Normal/satisfactory,45.027,2,Absent,1763,μS / cm,0,ppb,0.31,0.35,0.4,0.81,0.8,7.5,28.9,C,5,NTU,NA,Point of collection,3/8/2020,0,2.87,safe,https://api.mwater.co/v3/images/27366a2a76304b088ecfacb15776b6fc
27/06/2019,Shaibu Water point 1,-15.8456232,35.4779367,https://api.mwater.co/v3/images/8c8564c291974f6d8fc02b0a6882ac09,Normal/satisfactory,43.541,1,Present,939,μS / cm,0,ppb,0.35,0.8,0,0.47,0,7.43,26.2,C,5,NTU,The community is happy for the rehabilitation and the cbm training offered to them saying it opened their eyes,Point of collection,6/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/a02758b4c6af4253a2cc164036b9450c
02/07/2019,Njete(likhonyowera )borehole  01,-15.975199,35.3140382,https://api.mwater.co/v3/images/a0ef950c2f3a4814b5ad2f4fdb89fc0f; https://api.mwater.co/v3/images/9397f690f5984dd09215cf37a87b1c95; https://api.mwater.co/v3/images/7e5afa672a0549b89ab006d7522a63ad,Normal/satisfactory,48.35,2,Present,636,μS / cm,0,ppb,0.25,1.7,0.4,0.3,0.14,7.72,23.3,C,10,NTU,NA,Point of collection,7/1/2019,0,2.87,safe,https://api.mwater.co/v3/images/5cdd5bab19e94a86810611614c505ebf
02/07/2019,Njete(likhonyowera )borehole  02,-15.9743726,35.3157741,https://api.mwater.co/v3/images/7a651d7d5e2d4c1e95fff22c43fcd34a; https://api.mwater.co/v3/images/8edbe73fdbb7471693d2181e59975339; https://api.mwater.co/v3/images/1f33537c95a24071bd475be2aeb323c8,Normal/satisfactory,55.802,2,Absent,205,μS / cm,5,ppb,0.25,0.2,0.3,0.1,0,7.74,28.6,C,5,NTU,NA,Point of collection,7/2/2019,0,2.87,safe,https://api.mwater.co/v3/images/fb27c4b04b5f45b2a71a908015e0bef0
09/12/2019,Njete(likhonyowera )borehole  02,-15.9743726,35.3157741,https://api.mwater.co/v3/images/fe4b4450db484a30a23762d19f61c0ba; https://api.mwater.co/v3/images/21cff6cd74b74135a83b1a4379609058,Normal/satisfactory,46.84,2,Absent,200.1,μS / cm,0,ppb,0.5,0.1,0.3,0.1,0,7.1,32.4,C,5,NTU,NA,Point of collection,12/8/2019,0,2.87,safe,https://api.mwater.co/v3/images/feb1e81adf3641c784f124731897684c
